3891,4303
24,3724,1
24,3733,2
24,3851,1
24,3876,1
24,4055,1
24,4090,1
24,4104,1
25,275,1
25,297,1
25,596,1
25,1006,1
25,1179,2
25,1229,1
25,1325,1
25,1837,1
25,1986,1
25,2183,1
25,2184,1
25,2253,1
25,2468,1
25,2768,1
25,2902,1
25,2906,1
25,3111,1
25,3470,1
25,3528,1
25,3776,1
25,3975,1
25,4023,1
25,4253,2
25,4256,1
26,133,1
26,187,1
26,211,1
26,575,1
26,882,2
26,1138,1
26,1439,1
26,1447,1
26,1449,3
26,1528,1
26,1734,1
26,2063,1
26,2174,1
26,2253,2
26,2345,1
26,2480,1
26,2739,2
26,2742,1
26,2953,1
26,2974,1
26,3282,1
26,3789,1
26,3923,2
26,4127,1
26,4150,1
27,115,1
27,122,1
27,340,1
27,445,1
27,494,1
27,542,1
27,607,1
27,748,1
27,1138,1
27,1198,1
27,1229,1
27,1296,1
27,1658,1
27,1720,1
27,1798,3
27,1859,1
27,2469,1
27,2555,1
27,2881,1
27,2921,2
27,3041,1
27,3123,1
27,3141,1
27,3499,1
27,3580,1
27,3625,1
27,3681,1
27,4055,1
28,16,1
28,87,1
28,122,1
28,124,1
28,275,3
28,325,1
28,402,1
28,422,1
28,538,1
28,1428,1
28,1487,1
28,1605,1
28,1677,1
28,2010,1
28,2110,1
28,2166,1
28,2381,1
28,2815,1
28,3063,1
28,3141,1
28,3488,1
28,3528,1
28,3567,1
28,3682,1
28,3829,2
28,4055,1
28,4216,1
29,52,1
29,228,1
29,230,2
29,333,1
29,457,1
29,542,7
29,742,1
29,748,1
29,1034,1
29,1202,1
29,1376,2
29,1410,1
29,1740,1
29,1886,1
29,1908,1
29,1918,1
29,1961,1
29,2008,1
29,2063,1
29,2068,1
29,2070,1
29,2111,1
29,2245,1
29,2338,1
29,2369,2
29,2480,1
29,2651,1
29,2691,1
29,2727,1
29,2810,1
29,2913,1
29,2977,6
29,3057,1
29,3074,3
29,3141,1
29,3286,1
29,3414,2
29,3502,1
29,3546,1
29,3620,1
29,3695,1
29,3700,1
29,3731,1
29,3796,2
29,3975,1
29,4041,1
29,4055,2
30,66,6
30,74,1
30,126,1
30,240,1
30,299,1
30,303,1
30,343,1
30,380,1
30,495,2
30,501,1
30,531,1
30,664,3
30,748,1
30,802,1
30,842,1
30,899,1
30,926,1
30,957,2
30,993,1
30,1034,1
30,1060,1
30,1088,1
30,1110,1
30,1165,1
30,1198,1
30,1296,2
30,1415,1
30,1471,1
30,1501,1
30,1606,1
30,1696,1
30,1755,1
30,1776,1
30,1858,6
30,1963,1
30,1972,2
30,2002,1
30,2020,5
30,2032,1
30,2070,1
30,2145,1
30,2430,1
30,2516,1
30,2518,1
30,2522,1
30,2557,1
30,2570,1
30,2669,1
30,2723,1
30,3039,1
30,3075,1
30,3086,1
30,3141,1
30,3202,3
30,3286,1
30,3522,1
30,3710,1
30,3717,1
30,3832,1
30,3966,1
30,4078,1
30,4093,1
30,4104,1
30,4144,2
31,16,1
31,230,1
31,874,1
31,891,1
31,1037,1
31,1487,1
31,2068,1
31,2350,1
31,2683,1
31,2739,1
31,2881,1
31,3141,1
31,3446,1
31,4041,1
31,4055,1
31,4203,1
32,343,1
32,839,1
32,970,1
32,1495,3
32,1630,1
32,1858,3
32,2130,1
32,2183,1
32,2233,1
32,2330,1
32,2468,1
32,2612,1
32,2669,1
32,2849,1
32,3141,7
32,3396,2
32,3527,1
32,3528,1
32,3580,1
32,3950,2
33,71,1
33,230,1
33,275,2
33,288,1
33,495,1
33,525,1
33,812,2
33,1380,1
33,1410,1
33,1487,1
33,2819,1
33,3470,1
33,3528,1
33,3638,1
34,74,1
34,281,1
34,297,1
34,326,2
34,438,1
34,488,1
34,542,1
34,841,6
34,976,1
34,1077,1
34,1140,1
34,1181,1
34,1217,1
34,1264,1
34,1294,1
34,1296,5
34,1360,1
34,1534,1
34,1595,1
34,1605,1
34,1647,1
34,1665,1
34,1836,1
34,1859,1
34,1886,1
34,1929,1
34,1930,5
34,1963,1
34,2010,2
34,2091,1
34,2459,1
34,2533,1
34,2644,4
34,2704,1
34,2727,1
34,2739,1
34,2820,1
34,2962,1
34,2971,1
34,3044,1
34,3117,1
34,3141,1
34,3142,1
34,3282,2
34,3407,1
34,3421,1
34,3499,1
34,3533,1
34,3560,1
34,3573,1
34,3607,1
34,3734,1
34,3795,1
34,3800,1
34,3914,1
34,3916,1
34,3955,1
34,3961,2
34,3973,1
34,4051,1
34,4077,1
34,4078,2
34,4185,1
34,4192,1
34,4196,1
34,4238,1
35,213,1
35,253,1
35,882,1
35,978,1
35,1027,1
35,1487,1
35,1677,1
35,1690,1
35,1986,1
35,2215,1
35,2417,1
35,2435,1
35,2576,2
35,3025,1
35,3550,1
35,3625,2
35,3942,2
35,4301,1
36,47,3
36,53,2
36,80,1
36,187,1
36,274,5
36,297,2
36,393,1
36,427,1
36,451,1
36,456,2
36,458,3
36,477,2
36,519,1
36,606,1
36,629,1
36,774,1
36,881,2
36,912,6
36,921,2
36,1179,2
36,1187,1
36,1198,4
36,1226,1
36,1229,1
36,1314,2
36,1567,1
36,1711,1
36,1791,1
36,1796,3
36,1811,1
36,1858,5
36,1908,1
36,1976,1
36,1979,1
36,2013,6
36,2103,1
36,2113,2
36,2350,1
36,2397,2
36,2398,1
36,2435,1
36,2464,1
36,2470,1
36,2533,1
36,2622,1
36,2624,1
36,2665,1
36,2714,1
36,2768,1
36,2776,4
36,2829,1
36,2861,1
36,3049,2
36,3057,3
36,3074,2
36,3185,1
36,3240,1
36,3251,1
36,3266,1
36,3299,1
36,3411,1
36,3638,1
36,3677,1
36,3695,1
36,3799,1
36,3821,2
36,3829,2
36,3886,1
36,3990,1
36,4137,1
36,4235,1
36,4251,1
36,4274,1
37,21,1
37,115,1
37,151,1
37,187,1
37,208,1
37,310,2
37,341,2
37,455,1
37,482,1
37,503,1
37,525,2
37,528,2
37,531,1
37,542,2
37,605,2
37,703,2
37,728,1
37,733,1
37,735,2
37,817,2
37,841,1
37,868,3
37,882,2
37,894,2
37,914,1
37,926,1
37,940,1
37,957,1
37,987,1
37,997,1
37,1036,1
37,1095,1
37,1237,1
37,1264,1
37,1270,3
37,1279,1
37,1355,2
37,1365,1
37,1372,1
37,1378,1
37,1397,1
37,1438,1
37,1677,1
37,1823,1
37,1930,1
37,1947,2
37,2010,2
37,2110,2
37,2111,1
37,2113,1
37,2165,1
37,2350,2
37,2439,1
37,2519,1
37,2540,4
37,2629,1
37,2694,1
37,2739,1
37,2816,2
37,2906,1
37,2939,3
37,2979,1
37,3074,3
37,3142,3
37,3214,1
37,3252,1
37,3315,1
37,3401,1
37,3465,1
37,3487,1
37,3499,1
37,3531,1
37,3546,1
37,3573,1
37,3665,1
37,3670,1
37,3681,1
37,3734,1
37,3826,1
37,3876,1
37,3883,1
37,3930,1
37,3934,1
37,3953,2
37,3961,1
37,4055,2
37,4058,1
37,4208,1
37,4235,1
37,4265,1
38,115,1
38,175,1
38,241,1
38,312,1
38,325,1
38,401,1
38,422,1
38,441,1
38,471,1
38,605,1
38,606,4
38,696,2
38,882,1
38,988,1
38,1006,1
38,1022,1
38,1034,1
38,1187,1
38,1229,1
38,1278,1
38,1304,1
38,1362,2
38,1367,1
38,1405,2
38,1418,1
38,1734,1
38,1747,1
38,1779,1
38,1823,1
38,1868,1
38,1908,1
38,1986,1
38,2059,1
38,2111,2
38,2145,1
38,2150,1
38,2330,1
38,2369,2
38,2380,2
38,2411,1
38,2509,1
38,2625,2
38,2635,1
38,2650,1
38,2735,1
38,2739,1
38,2745,1
38,2780,1
38,2840,1
38,3044,3
38,3059,1
38,3074,1
38,3137,1
38,3141,1
38,3164,1
38,3185,1
38,3360,1
38,3420,1
38,3546,1
38,4055,1
39,16,1
39,74,3
39,109,3
39,175,1
39,177,1
39,253,2
39,315,1
39,397,1
39,402,2
39,446,1
39,458,1
39,517,1
39,537,1
39,542,1
39,763,3
39,784,1
39,793,1
39,970,1
39,972,1
39,1022,1
39,1268,1
39,1279,1
39,1352,1
39,1448,1
39,1569,1
39,1664,1
39,1720,1
39,1780,2
39,1797,1
39,1858,3
39,1859,1
39,1908,1
39,1972,2
39,2070,1
39,2115,1
39,2182,1
39,2278,1
39,2326,1
39,2366,1
39,2391,1
39,2436,1
39,2480,1
39,2558,2
39,2636,3
39,2691,1
39,2725,1
39,2739,2
39,2859,1
39,2913,1
39,2919,4
39,2971,2
39,2973,1
39,2989,1
39,3074,2
39,3102,2
39,3117,1
39,3141,2
39,3186,1
39,3212,5
39,3276,2
39,3315,2
39,3409,1
39,3457,1
39,3460,1
39,3531,1
39,3544,1
39,3578,1
39,3648,1
39,3662,1
39,3712,1
39,3723,1
39,3781,1
39,3790,1
39,3800,2
39,4042,1
39,4055,1
39,4106,1
39,4129,1
39,4160,1
40,161,2
40,180,2
40,343,2
40,468,1
40,477,1
40,874,1
40,882,1
40,978,1
40,1017,1
40,1157,1
40,1376,1
40,1721,1
40,2068,1
40,2414,1
40,2596,1
40,2931,1
40,3030,1
40,3074,1
40,3122,1
40,3142,1
40,3177,1
40,3225,1
40,3466,1
40,3528,1
40,3821,4
40,4116,2
41,288,1
41,344,2
41,393,1
41,402,1
41,639,1
41,702,1
41,804,1
41,940,1
41,1702,1
41,2183,1
41,2361,1
41,2369,2
41,2468,1
41,2627,1
41,2631,1
41,2849,1
41,3158,1
41,3282,1
41,3441,1
41,3446,1
41,3731,1
41,4041,1
41,4055,1
41,4166,1
41,4272,1
42,180,1
42,188,1
42,198,1
42,275,2
42,363,1
42,401,2
42,455,12
42,458,1
42,506,6
42,517,1
42,525,1
42,558,1
42,571,1
42,575,11
42,776,1
42,784,1
42,838,1
42,843,2
42,872,3
42,882,3
42,894,1
42,964,1
42,1110,1
42,1157,3
42,1164,2
42,1202,1
42,1249,10
42,1260,1
42,1267,1
42,1327,1
42,1567,1
42,1580,1
42,1614,1
42,1636,2
42,1739,1
42,1747,1
42,1829,1
42,1858,1
42,1860,1
42,1963,1
42,1973,1
42,2007,1
42,2046,1
42,2051,1
42,2068,1
42,2109,1
42,2128,1
42,2203,1
42,2369,7
42,2435,1
42,2452,1
42,2480,2
42,2558,1
42,2576,1
42,2629,1
42,2696,1
42,2739,1
42,2741,1
42,2768,1
42,2863,1
42,2971,1
42,2984,1
42,3058,1
42,3074,2
42,3102,1
42,3137,1
42,3142,2
42,3167,1
42,3230,1
42,3268,1
42,3331,1
42,3388,1
42,3528,1
42,3539,3
42,3656,5
42,3662,1
42,3727,4
42,3795,1
42,3823,1
42,3887,1
42,3923,2
42,3994,1
42,4075,1
42,4145,1
42,4168,1
42,4256,1
43,200,1
43,327,1
43,361,2
43,495,1
43,542,2
43,547,1
43,582,1
43,679,1
43,701,1
43,812,3
43,853,1
43,948,1
43,970,1
43,1092,1
43,1117,3
43,1181,1
43,1195,1
43,1198,1
43,1268,1
43,1270,2
43,1573,1
43,1614,1
43,1967,1
43,2010,1
43,2061,1
43,2129,1
43,2145,1
43,2188,1
43,2199,1
43,2265,1
43,2314,1
43,2316,1
43,2465,1
43,2480,1
43,2518,1
43,2576,1
43,2709,1
43,2815,1
43,2843,1
43,2995,2
43,3007,1
43,3041,1
43,3074,2
43,3230,1
43,3286,1
43,3326,1
43,3423,1
43,3593,1
43,3711,1
43,3734,1
43,3791,1
43,3800,1
43,3864,1
43,3946,1
43,4055,3
43,4157,1
43,4216,1
43,4220,2
44,551,1
44,1162,1
44,1173,1
44,1362,1
44,1606,1
44,1630,1
44,1702,1
44,2135,1
44,2203,2
44,2739,1
44,2810,1
44,2931,1
44,3000,1
44,3262,1
44,3669,2
44,4117,1
45,202,1
45,218,1
45,226,1
45,264,1
45,468,1
45,473,1
45,551,1
45,613,1
45,631,1
45,778,1
45,957,1
45,965,1
45,997,1
45,1051,1
45,1179,4
45,1198,1
45,1200,1
45,1267,1
45,1339,1
45,1447,2
45,1455,1
45,1743,2
45,1754,1
45,1789,2
45,1825,1
45,1833,1
45,1939,1
45,1986,1
45,2038,4
45,2045,2
45,2111,1
